r20,expr,min,mean,max,,,
Units: uS,chlesky,7.643,17.93769,75.658,,,
,norm gen,637.062,852.14992,3110,,,
,mult,39.993,51.53825,108.082,,,
,read,812.042,1007.587,3125.452,,,
r200,,,,,,,
Units: uS,chlesky,892.454,1483.72858,49318.232,,,
,norm gen,2645.876,2917.22254,4008.003,,,
,mult,3721.327,3914.44114,5055.158,,,
,read,28132.327,30969.128,83479.808,,,
,,,,,,,
GPU,expr,,,,,,
r20,read,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
r200,,,,,,,
,read,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Raw data collet,,,,,,,avg
r200,read,24.5341,20.5375,24.5033,19.9485,20.6328,22.38085
r20,read,0.61232,0.606112,0.6216,0.606048,0.800192,0.6492544
